  UNIT                                                                                                                                                               LOAD      ACTIVE     SUB          DESCRIPTION
  dev-disk-by\x2dpartlabel-Windows\x5cx20Recovery\x5cx20Environment.device                                                                                           loaded    active     plugged      KBG30ZPZ256G TOSHIBA Windows_RE_tools
  dev-disk-by\x2dpartuuid-018d0538\x2d319b\x2d4c92\x2dbc0c\x2d957f11c2d17c.device                                                                                    loaded    active     plugged      KBG30ZPZ256G TOSHIBA SYSTEM
  dev-disk-by\x2dpartuuid-69bbc561\x2d0016\x2d4f39\x2d9fe8\x2d54f3ef5461b6.device                                                                                    loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-disk-by\x2dpartuuid-6c0599b2\x2d7c34\x2d49e8\x2dac83\x2d0f7875dc7d3d.device                                                                                    loaded    active     plugged      KBG30ZPZ256G TOSHIBA Basic\x20data\x20partition
  dev-disk-by\x2dpartuuid-7e359164\x2d6ef6\x2d4a7d\x2d9e76\x2d02d1d2d92eb3.device                                                                                    loaded    active     plugged      PSSD_T7_Shield 2
  dev-disk-by\x2dpartuuid-82e7f18f\x2d6e48\x2d4303\x2d92b7\x2d768083080a0c.device                                                                                    loaded    active     plugged      PSSD_T7_Shield 1
  dev-disk-by\x2dpartuuid-995a5f2b\x2d6b4b\x2d4d81\x2dabcd\x2d03e63647023b.device                                                                                    loaded    active     plugged      KBG30ZPZ256G TOSHIBA Microsoft\x20Reserved\x20Partition
  dev-disk-by\x2dpartuuid-99b867d9\x2d235d\x2d4a66\x2daaa4\x2d0c8c9dc275e7.device                                                                                    loaded    active     plugged      KBG30ZPZ256G TOSHIBA Windows_RE_tools
  dev-disk-by\x2dpartuuid-ca68e963\x2da5bd\x2d41f2\x2da153\x2d027f8d8fa142.device                                                                                    loaded    active     plugged      ST4000LM024-2AN17V Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpartuuid-ddb46bbe\x2d8d0a\x2d4a14\x2da63c\x2daf82eb90c719.device                                                                                    loaded    active     plugged      ST6000DM003-2CY186 Seagate6TB
  dev-disk-by\x2dpartuuid-fee4a5d9\x2dbf2e\x2d11f0\x2dac3a\x2dc49ded98ec14.device                                                                                    loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.1:1.0\x2dscsi\x2d0:0:0:0.device                                                                              loaded    active     plugged      PSSD_T7_Shield
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.1:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                                     loaded    active     plugged      PSSD_T7_Shield 1
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.1:1.0\x2dscsi\x2d0:0:0:0\x2dpart2.device                                                                     loaded    active     plugged      PSSD_T7_Shield 2
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0.device                                                                              loaded    active     plugged      ST4000LM024-2AN17V
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                                     loaded    active     plugged      ST4000LM024-2AN17V Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0\x2dpart2.device                                                                     loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0\x2dpart3.device                                                                     loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.3:1.0\x2dscsi\x2d0:0:0:0.device                                                                              loaded    active     plugged      ST6000DM003-2CY186
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusb\x2d0:1.3:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                                     loaded    active     plugged      ST6000DM003-2CY186 Seagate6TB
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.1:1.0\x2dscsi\x2d0:0:0:0.device                                                                            loaded    active     plugged      PSSD_T7_Shield
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.1:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                                   loaded    active     plugged      PSSD_T7_Shield 1
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.1:1.0\x2dscsi\x2d0:0:0:0\x2dpart2.device                                                                   loaded    active     plugged      PSSD_T7_Shield 2
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0.device                                                                            loaded    active     plugged      ST4000LM024-2AN17V
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                                   loaded    active     plugged      ST4000LM024-2AN17V Microsoft\x20reserved\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0\x2dpart2.device                                                                   loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.2:1.0\x2dscsi\x2d0:0:0:0\x2dpart3.device                                                                   loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.3:1.0\x2dscsi\x2d0:0:0:0.device                                                                            loaded    active     plugged      ST6000DM003-2CY186
  dev-disk-by\x2dpath-pci\x2d0000:00:14.0\x2dusbv3\x2d0:1.3:1.0\x2dscsi\x2d0:0:0:0\x2dpart1.device                                                                   loaded    active     plugged      ST6000DM003-2CY186 Seagate6TB
  dev-disk-by\x2dpath-pci\x2d0000:02:00.0\x2dnvme\x2d1.device                                                                                                        loaded    active     plugged      KBG30ZPZ256G TOSHIBA
  dev-disk-by\x2dpath-pci\x2d0000:02:00.0\x2dnvme\x2d1\x2dpart1.device                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA SYSTEM
  dev-disk-by\x2dpath-pci\x2d0000:02:00.0\x2dnvme\x2d1\x2dpart2.device                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Microsoft\x20Reserved\x20Partition
  dev-disk-by\x2dpath-pci\x2d0000:02:00.0\x2dnvme\x2d1\x2dpart3.device                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Basic\x20data\x20partition
  dev-disk-by\x2dpath-pci\x2d0000:02:00.0\x2dnvme\x2d1\x2dpart4.device                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Windows_RE_tools
  dev-disk-by\x2duuid-09FA16D309FA16D3.device                                                                                                                        loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-disk-by\x2duuid-204EDC0E4EDBDB1C.device                                                                                                                        loaded    active     plugged      KBG30ZPZ256G TOSHIBA Windows_RE_tools
  dev-disk-by\x2duuid-3187\x2d604E.device                                                                                                                            loaded    active     plugged      PSSD_T7_Shield 1
  dev-disk-by\x2duuid-56BE\x2dAAC9.device                                                                                                                            loaded    active     plugged      KBG30ZPZ256G TOSHIBA SYSTEM
  dev-disk-by\x2duuid-75e5363d\x2d6736\x2d4a7e\x2d84be\x2d5242f4735a27.device                                                                                        loaded    active     plugged      ST6000DM003-2CY186 Seagate6TB
  dev-disk-by\x2duuid-a4bf0d13\x2db036\x2d490e\x2d9a14\x2daea83baf37a6.device                                                                                        loaded    active     plugged      PSSD_T7_Shield 2
  dev-hidraw1.device                                                                                                                                                 loaded    active     plugged      iTouch Controller
  dev-iio:device0.device                                                                                                                                             loaded    active     plugged      /dev/iio:device0
  dev-iio:device4.device                                                                                                                                             loaded    active     plugged      /dev/iio:device4
  dev-nvme0n1.device                                                                                                                                                 loaded    active     plugged      KBG30ZPZ256G TOSHIBA
  dev-nvme0n1p1.device                                                                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA SYSTEM
  dev-nvme0n1p2.device                                                                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Microsoft\x20Reserved\x20Partition
  dev-nvme0n1p3.device                                                                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Basic\x20data\x20partition
  dev-nvme0n1p4.device                                                                                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Windows_RE_tools
  dev-rfkill.device                                                                                                                                                  loaded    active     plugged      /dev/rfkill
  dev-sda.device                                                                                                                                                     loaded    active     plugged      PSSD_T7_Shield
  dev-sda1.device                                                                                                                                                    loaded    active     plugged      PSSD_T7_Shield 1
  dev-sda2.device                                                                                                                                                    loaded    active     plugged      PSSD_T7_Shield 2
  dev-sdb.device                                                                                                                                                     loaded    active     plugged      ST4000LM024-2AN17V
  dev-sdb1.device                                                                                                                                                    loaded    active     plugged      ST4000LM024-2AN17V Microsoft\x20reserved\x20partition
  dev-sdb2.device                                                                                                                                                    loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-sdb3.device                                                                                                                                                    loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  dev-sdc.device                                                                                                                                                     loaded    active     plugged      ST6000DM003-2CY186
  dev-sdc1.device                                                                                                                                                    loaded    active     plugged      ST6000DM003-2CY186 Seagate6TB
  dev-snd-by\x2dpath-pci\x2d0000:00:1f.3.device                                                                                                                      loaded    active     plugged      /dev/snd/by-path/pci-0000:00:1f.3
  dev-snd-controlC0.device                                                                                                                                           loaded    active     plugged      /dev/snd/controlC0
  dev-tpm0.device                                                                                                                                                    loaded    active     plugged      /dev/tpm0
  dev-tpmrm0.device                                                                                                                                                  loaded    active     plugged      /dev/tpmrm0
  dev-ttyprintk.device                                                                                                                                               loaded    active     plugged      /dev/ttyprintk
  dev-ttyS0.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS0
  dev-ttyS1.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS1
  dev-ttyS10.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS10
  dev-ttyS11.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS11
  dev-ttyS12.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS12
  dev-ttyS13.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS13
  dev-ttyS14.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS14
  dev-ttyS15.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS15
  dev-ttyS16.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS16
  dev-ttyS17.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS17
  dev-ttyS18.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS18
  dev-ttyS19.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS19
  dev-ttyS2.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS2
  dev-ttyS20.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS20
  dev-ttyS21.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS21
  dev-ttyS22.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS22
  dev-ttyS23.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS23
  dev-ttyS24.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS24
  dev-ttyS25.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS25
  dev-ttyS26.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS26
  dev-ttyS27.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS27
  dev-ttyS28.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS28
  dev-ttyS29.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS29
  dev-ttyS3.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS3
  dev-ttyS30.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS30
  dev-ttyS31.device                                                                                                                                                  loaded    active     plugged      /dev/ttyS31
  dev-ttyS5.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS5
  dev-ttyS6.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS6
  dev-ttyS7.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS7
  dev-ttyS8.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS8
  dev-ttyS9.device                                                                                                                                                   loaded    active     plugged      /dev/ttyS9
  dev-zram0.device                                                                                                                                                   loaded    active     plugged      /dev/zram0
  sys-devices-pci0000:00-0000:00:02.0-drm-card1-card1\x2deDP\x2d1-intel_backlight.device                                                                             loaded    active     plugged      /sys/devices/pci0000:00/0000:00:02.0/drm/card1/card1-eDP-1/intel_backlight
  sys-devices-pci0000:00-0000:00:13.0-\x7b33AECD58\x2dB679\x2d4E54\x2d9BD9\x2dA04D34F0C226\x7d-001F:8087:0AC2.0001-HID\x2dSENSOR\x2d200041.5.auto-iio:device4.device loaded    active     plugged      /sys/devices/pci0000:00/0000:00:13.0/{33AECD58-B679-4E54-9BD9-A04D34F0C226}/001F:8087:0AC2.0001/HID-SENSOR-200041.5.auto/iio:device4
  sys-devices-pci0000:00-0000:00:13.0-\x7b33AECD58\x2dB679\x2d4E54\x2d9BD9\x2dA04D34F0C226\x7d-001F:8087:0AC2.0001-HID\x2dSENSOR\x2d200073.2.auto-iio:device0.device loaded    active     plugged      /sys/devices/pci0000:00/0000:00:13.0/{33AECD58-B679-4E54-9BD9-A04D34F0C226}/001F:8087:0AC2.0001/HID-SENSOR-200073.2.auto/iio:device0
  sys-devices-pci0000:00-0000:00:14.0-usb1-1\x2d5-1\x2d5:1.0-bluetooth-hci0-hci0:128.device                                                                          loaded    active     plugged      /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/bluetooth/hci0/hci0:128
  sys-devices-pci0000:00-0000:00:14.0-usb1-1\x2d5-1\x2d5:1.0-bluetooth-hci0-hci0:129.device                                                                          loaded    active     plugged      /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/bluetooth/hci0/hci0:129
  sys-devices-pci0000:00-0000:00:14.0-usb1-1\x2d5-1\x2d5:1.0-bluetooth-hci0.device                                                                                   loaded    active     plugged      /sys/devices/pci0000:00/0000:00:14.0/usb1/1-5/1-5:1.0/bluetooth/hci0
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.1-2\x2d1.1:1.0-host1-target1:0:0-1:0:0:0-block-sda-sda1.device                                              loaded    active     plugged      PSSD_T7_Shield 1
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.1-2\x2d1.1:1.0-host1-target1:0:0-1:0:0:0-block-sda-sda2.device                                              loaded    active     plugged      PSSD_T7_Shield 2
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.1-2\x2d1.1:1.0-host1-target1:0:0-1:0:0:0-block-sda.device                                                   loaded    active     plugged      PSSD_T7_Shield
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.2-2\x2d1.2:1.0-host0-target0:0:0-0:0:0:0-block-sdb-sdb1.device                                              loaded    active     plugged      ST4000LM024-2AN17V Microsoft\x20reserved\x20partition
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.2-2\x2d1.2:1.0-host0-target0:0:0-0:0:0:0-block-sdb-sdb2.device                                              loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.2-2\x2d1.2:1.0-host0-target0:0:0-0:0:0:0-block-sdb-sdb3.device                                              loaded    active     plugged      ST4000LM024-2AN17V Basic\x20data\x20partition
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.2-2\x2d1.2:1.0-host0-target0:0:0-0:0:0:0-block-sdb.device                                                   loaded    active     plugged      ST4000LM024-2AN17V
